cycle,current_date,day_of_simulation,nb_susceptible,nb_exposed,nb_infectious_symptomatic,nb_infectious_asymptomatic,nb_recovered,nb_immune,nb_Qs,nb_Qa,nb_H,nb_D,nb_mask,nb_hand_wash,nb_social_distance,R0,infected_today,tot_infected,semaphore
0,date ('2020-05-23 00:00:00'),0,21115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.3
24,date ('2020-05-24 00:00:00'),1,21115,0,0,0,0,0,0,0,0,0,34,31,22,0.0,0,1,0.3
48,date ('2020-05-25 00:00:00'),2,21114,1,0,0,0,0,0,0,0,0,29,26,44,0.0,1,2,0.3
72,date ('2020-05-26 00:00:00'),3,21114,1,0,0,0,0,0,0,0,0,25,25,39,0.0,0,2,0.3
96,date ('2020-05-27 00:00:00'),4,21113,2,0,0,0,0,0,0,0,0,25,36,36,0.0,1,3,0.3
120,date ('2020-05-28 00:00:00'),5,21112,3,0,0,0,0,0,0,0,0,26,23,26,0.0,1,4,0.3
144,date ('2020-05-29 00:00:00'),6,21112,3,0,0,0,0,0,0,0,0,38,31,27,0.0,0,4,0.3
168,date ('2020-05-30 00:00:00'),7,21111,4,0,0,0,0,0,0,0,0,34,31,32,0.0,1,5,0.3
192,date ('2020-05-31 00:00:00'),8,21111,4,0,0,0,0,0,0,0,0,33,26,34,0.0,0,5,0.3
216,date ('2020-06-01 00:00:00'),9,21111,3,1,0,0,0,0,0,0,0,36,33,32,0.0,0,5,0.3
240,date ('2020-06-02 00:00:00'),10,21111,3,1,0,0,0,0,0,0,0,38,41,46,0.0,0,5,0.3
264,date ('2020-06-03 00:00:00'),11,21110,3,2,0,0,0,0,0,0,0,35,21,27,0.0,1,6,0.3
288,date ('2020-06-04 00:00:00'),12,21110,2,2,1,0,0,0,0,0,0,31,37,29,0.0,0,6,0.3
312,date ('2020-06-05 00:00:00'),13,21109,3,2,1,0,0,0,0,0,0,22,40,25,0.0,1,7,0.3
336,date ('2020-06-06 00:00:00'),14,21109,2,3,1,0,0,0,0,0,0,36,29,28,0.0,0,7,0.3
360,date ('2020-06-07 00:00:00'),15,21108,3,3,1,0,0,0,0,0,0,30,34,26,0.0,1,8,0.3
384,date ('2020-06-08 00:00:00'),16,21107,4,3,1,0,0,0,0,0,0,31,36,34,0.0,1,9,0.3
408,date ('2020-06-09 00:00:00'),17,21107,4,3,1,0,0,0,0,0,0,31,18,26,0.0,0,9,0.3
432,date ('2020-06-10 00:00:00'),18,21106,4,4,1,0,0,1,0,0,0,25,43,32,0.0,1,10,0.3
456,date ('2020-06-11 00:00:00'),19,21105,4,5,1,0,0,2,0,0,0,29,30,28,0.0,1,11,0.3
480,date ('2020-06-12 00:00:00'),20,21104,5,5,1,0,0,2,0,0,0,36,35,39,0.0,1,12,0.3
504,date ('2020-06-13 00:00:00'),21,21102,7,5,1,0,0,2,0,0,0,19,30,32,0.0,2,14,0.3
528,date ('2020-06-14 00:00:00'),22,21102,7,5,1,0,0,2,0,0,0,30,26,21,0.0,0,14,0.3
552,date ('2020-06-15 00:00:00'),23,21102,7,5,1,0,0,2,0,0,0,31,44,29,0.0,0,14,0.3
576,date ('2020-06-16 00:00:00'),24,21101,6,7,1,0,0,3,0,1,0,32,31,32,0.0,1,15,0.3
600,date ('2020-06-17 00:00:00'),25,21101,5,8,1,0,0,3,0,1,0,41,46,64,0.0,0,15,0.3
624,date ('2020-06-18 00:00:00'),26,21100,4,9,2,0,0,4,0,1,0,53,46,55,0.0,1,16,0.3
648,date ('2020-06-19 00:00:00'),27,21099,3,10,3,0,0,5,0,1,0,41,49,53,0.0,1,17,0.3
672,date ('2020-06-20 00:00:00'),28,21098,4,10,3,0,0,5,0,1,0,46,49,45,0.0,1,18,0.3
696,date ('2020-06-21 00:00:00'),29,21097,5,10,3,0,0,5,0,1,0,50,68,43,0.0,1,19,0.3
720,date ('2020-06-22 00:00:00'),30,21096,5,11,2,0,1,6,0,1,0,44,51,57,0.0,1,20,0.3
744,date ('2020-06-23 00:00:00'),31,21096,5,11,2,0,1,6,0,1,0,52,43,51,0.0,0,20,0.3
768,date ('2020-06-24 00:00:00'),32,21096,5,11,2,0,1,6,0,1,0,47,51,50,0.0,0,20,0.3
792,date ('2020-06-25 00:00:00'),33,21096,3,13,2,0,1,8,0,1,0,58,48,51,0.0,0,20,0.3
816,date ('2020-06-26 00:00:00'),34,21096,2,14,2,0,1,8,0,1,0,42,68,58,0.0,0,20,0.3
840,date ('2020-06-27 00:00:00'),35,21095,3,14,2,0,1,8,0,1,0,43,45,47,0.0,1,21,0.3
864,date ('2020-06-28 00:00:00'),36,21094,4,14,2,0,1,8,0,1,0,50,65,51,0.0,1,22,0.3
888,date ('2020-06-29 00:00:00'),37,21094,3,15,2,0,1,8,0,1,0,44,52,54,0.0,0,22,0.3
912,date ('2020-06-30 00:00:00'),38,21094,1,14,4,0,1,8,0,1,1,57,39,55,0.0,0,22,0.3
936,date ('2020-07-01 00:00:00'),39,21093,1,14,5,0,1,8,1,1,1,52,55,72,0.0,1,23,0.3
960,date ('2020-07-02 00:00:00'),40,21093,1,13,5,0,2,8,1,1,1,55,52,69,0.0,0,23,0.3
984,date ('2020-07-03 00:00:00'),41,21092,2,13,5,0,2,8,1,1,1,51,48,59,0.0,1,24,0.3
1008,date ('2020-07-04 00:00:00'),42,21092,2,13,5,0,2,8,1,1,1,59,42,59,0.0,0,24,0.3
1032,date ('2020-07-05 00:00:00'),43,21091,3,12,5,0,3,7,1,1,1,57,62,56,0.0,1,25,0.3
1056,date ('2020-07-06 00:00:00'),44,21091,3,12,4,0,3,7,1,1,2,45,64,49,0.0,0,25,0.3
1080,date ('2020-07-07 00:00:00'),45,21090,2,13,3,0,5,7,1,1,2,57,55,58,0.0,1,26,0.3
1104,date ('2020-07-08 00:00:00'),46,21089,1,14,2,0,7,8,1,1,2,59,72,62,0.0,1,27,0.3
1128,date ('2020-07-09 00:00:00'),47,21089,0,14,2,0,7,8,1,1,3,41,48,49,0.3333333333333333,0,27,0.3
1152,date ('2020-07-10 00:00:00'),48,21089,0,14,2,0,7,8,1,1,3,63,46,45,0.3333333333333333,0,27,0.3
1176,date ('2020-07-11 00:00:00'),49,21089,0,14,1,0,8,8,1,1,3,59,49,50,0.3333333333333333,0,27,0.3
1200,date ('2020-07-12 00:00:00'),50,21088,1,14,1,0,8,8,1,1,3,48,56,51,0.3333333333333333,1,28,0.3
1224,date ('2020-07-13 00:00:00'),51,21088,1,13,1,0,9,7,1,1,3,58,47,57,0.3333333333333333,0,28,0.3
1248,date ('2020-07-14 00:00:00'),52,21087,2,11,1,0,10,6,1,0,4,60,61,54,0.25,1,29,0.3
1272,date ('2020-07-15 00:00:00'),53,21087,2,11,1,0,10,6,1,0,4,28,22,30,0.25,0,29,0.3
1296,date ('2020-07-16 00:00:00'),54,21087,2,10,1,0,11,5,1,0,4,31,32,30,0.25,0,29,0.3
1320,date ('2020-07-17 00:00:00'),55,21086,3,10,1,0,11,5,1,0,4,28,39,34,0.25,1,30,0.3
1344,date ('2020-07-18 00:00:00'),56,21085,3,11,1,0,11,5,1,0,4,31,25,34,0.25,1,31,0.3
1368,date ('2020-07-19 00:00:00'),57,21084,2,11,1,0,13,6,1,0,4,34,24,36,0.25,1,32,0.3
1392,date ('2020-07-20 00:00:00'),58,21083,3,11,1,0,13,6,1,0,4,29,35,37,0.25,1,33,0.3
1416,date ('2020-07-21 00:00:00'),59,21083,1,12,2,0,13,6,1,0,4,31,39,45,0.25,0,33,0.3
